dataset,pValueClassification(RF average/GBDT average)
analcatdata_bondrate,0.9999989811527811
analcatdata_creditscore,1.0
australian_credit_approval,0.9995144104153997
corporate_credit_rating,0.5908072132483186
credit_approval,1.0
creditcard_fraud_detection,0.0023283557739233692
credit_customers,0.6284308022715471
default_credit_card_clients,0.9999999999999998
give_me_some_credit,0.005855109724018428
home_credit_default_risk,0.999999882780209
taiwanese_bankruptcy_prediction,0.9999999784591344
tvs_loan_default,0.9999999999952958
