dataset,pValueClassification(RF average/GBDT average)
analcatdata_bondrate,0.7711375628906926
analcatdata_creditscore,0.9100256668311278
australian_credit_approval,0.5684617704896961
corporate_credit_rating,0.9302488288504321
credit_approval,1.0
creditcard_fraud_detection,6.395519168878544e-67
credit_customers,0.11846007513401581
default_credit_card_clients,0.7716403561753968
give_me_some_credit,1.2098338794877652e-13
home_credit_default_risk,8.41894522780547e-05
taiwanese_bankruptcy_prediction,0.22510931597567208
tvs_loan_default,2.8851593744341245e-05
