dataset,pValueRF(sklearn/XGBoost),pValueGBDT(XGBoost/LightGBM)
analcatdata_bondrate,0.31731050786291415,0.0081509715935027
analcatdata_creditscore,1.0,0.31731050786291415
australian_credit_approval,0.17971249487899976,1.0
corporate_credit_rating,0.012415374699033288,0.3877994360592718
credit_approval,0.47950012218695337,0.15729920705028502
creditcard_fraud_detection,0.006655605482949377,2.819649470166594e-119
credit_customers,0.6698153575994166,0.6170750774519738
default_credit_card_clients,0.28931483238198774,3.0553000685378698e-06
give_me_some_credit,2.436948193778742e-69,1.1188676197979036e-05
home_credit_default_risk,7.030788274352882e-56,7.817557514279119e-12
taiwanese_bankruptcy_prediction,4.2249094050057074e-06,0.0832645166635504
tvs_loan_default,4.707140590140388e-18,0.31126124173411474
