dataset,pValueLR(sklearn/numpy),pValueFNN(TensorFlow/PyTorch)
airbus_historical_financials,2.5640624738511035e-09,5.977036617413417e-07
amazon_historical_financials,1.1420527708602065e-24,0.14668707787006577
applied_materials_historical_financials,1.8232410364607937e-07,3.539605654831517e-07
crude_oil_prices,1.470225640200742e-191,1.1154330194476651e-100
diamonds,3.31053444973071e-07,6.968228986699086e-22
gamestop_historical_financials,1.8626492279497593e-25,6.167230590408511e-18
google_historical_financials,0.002221236428998703,0.057000109726628084
hsi_historical_financials,0.2836967876320998,1.2164206859565738e-16
ibm_historical_financials,7.833243469875757e-06,0.441222557072102
nasdaq_historical_financials,1.7645861534698654e-41,8.331370988608023e-26
walmart_historical_financials,1.7675669256340491e-40,2.819701860687475e-12
