dataset,pValueLR(sklearn/numpy),pValueFNN(TensorFlow/PyTorch)
airbus_historical_financials,0.9999999999914848,0.9280568774507428
amazon_historical_financials,0.9999999998806258,0.9982213549596082
applied_materials_historical_financials,0.999999999995728,0.9543213981399548
crude_oil_prices,0.99999999995004,0.9331832139143277
diamonds,0.9978205722256478,0.7680518262883218
gamestop_historical_financials,0.999999999932586,0.8101600179177885
google_historical_financials,0.9999999999873508,0.9890268059424567
hsi_historical_financials,0.9999999997971349,0.9945398783396854
ibm_historical_financials,0.9999999996565022,0.9221875151772397
nasdaq_historical_financials,0.999999999758793,0.9992994880282973
walmart_historical_financials,0.9999999997257049,0.9157976254814476
