sk-learn,numpy
128435210.75917566,128435210.75917622
127519542.17462957,127519542.1746313
115277932.80529246,115277932.80529383
103803451.77266139,103803451.772661
84170433.69519535,84170433.69519554
89683407.33884123,89683407.33884159
109310195.52006236,109310195.5200621
99240668.35234277,99240668.35234365
72859249.88741273,72859249.88741213
88491763.11357221,88491763.11357236
146804067.35095793,146804067.35096002
127703201.28635448,127703201.2863544
119639674.69576433,119639674.69576521
225483058.468439,225483058.46842986
96665029.66027449,96665029.66027464
103611697.43320414,103611697.43320948
143203612.0815081,143203612.08150625
108938972.34886931,108938972.34887175
57667362.805452585,57667362.80545208
109374000.35141347,109374000.35141477
85663725.40893888,85663725.40893708
54786050.08950624,54786050.089507006
69834900.82104887,69834900.82104914
95761642.99867252,95761642.99867526
122697240.86115846,122697240.86116159
1378698318.6825137,1378698318.6825352
110635620.96059862,110635620.96060018
52699487.43177521,52699487.43177389
147023193.1755706,147023193.17557174
57651795.44240853,57651795.44241055
136088334.69496304,136088334.69496337
83368066.32505444,83368066.32505476
313504888.823478,313504888.8234662
127104350.71845424,127104350.7184533
114051791.64725482,114051791.64725506
113656846.51046944,113656846.51046872
200795342.3345066,200795342.33450848
83158418.8176203,83158418.81761979
1718657.8371419162,1718657.8371561416
108790658.73369716,108790658.73369801
96410270.2627924,96410270.2627908
111466522.55162382,111466522.55162503
123576842.30640891,123576842.30641115
118901117.39240712,118901117.39240903
163978212.78509733,163978212.78509426
118478834.47036889,118478834.47036807
95611890.07551137,95611890.07551388
107459963.85895021,107459963.85895191
131013350.61322623,131013350.61322522
118183849.54805773,118183849.54805845
109129934.82216832,109129934.82216813
131608245.5519929,131608245.55199333
145629381.5231521,145629381.52315062
33863983.39635426,33863983.39635458
132025165.513538,132025165.5135395
102291038.92349821,102291038.92349443
142137699.80836165,142137699.80836198
93068264.24190593,93068264.24190807
44759268.79238349,44759268.79238356
122489047.69645098,122489047.6964504
55623995.859757096,55623995.859755814
118808528.00940156,118808528.00940385
150896127.479285,150896127.4792828
267412436.69365382,267412436.6936522
125505061.72445703,125505061.72445671
114839960.66636622,114839960.66636905
123026865.93089265,123026865.93089168
116063184.9905012,116063184.99050222
127408433.41269296,127408433.41269375
55200099.33255285,55200099.33255478
121998936.14246702,121998936.14246786
120749619.81768173,120749619.81768215
126228763.25924817,126228763.25924917
111531858.64974877,111531858.64974508
112039447.27619481,112039447.27619772
52782688.71745518,52782688.717455074
136651816.4214042,136651816.42140454
127385059.23796165,127385059.23796183
579785670.4522462,579785670.4522399
196554304.78606293,196554304.7860612
130760947.53424612,130760947.53424437
439407214.0163405,439407214.01632655
130695386.95988494,130695386.95988493
84595140.16111964,84595140.16112164
87074019.09698471,87074019.09698392
231955691.6232933,231955691.6232936
119757544.91576162,119757544.91576228
95759515.94907364,95759515.94907512
101615767.72470301,101615767.72470364
529546040.8776796,529546040.8776921
118238275.97200653,118238275.97200966
94278565.41515791,94278565.41516015
120640903.75266737,120640903.75267005
137906948.74498045,137906948.74498174
107207753.50086126,107207753.50086045
132757922.76459587,132757922.76459578
119005081.31595212,119005081.31595275
73292481.52270284,73292481.52270463
146058015.39309904,146058015.39310035
103130632.59683008,103130632.59683006
357349559.2515522,357349559.2515465
120692868.97829643,120692868.97829843
347908337.50953054,347908337.50953996
102769333.74324195,102769333.74324222
103404443.05965722,103404443.05965672
40158508.00155012,40158508.00154729
136504227.5021438,136504227.5021447
96755657.81749469,96755657.8174958
121957262.80178136,121957262.80178201
98907027.18626463,98907027.18626446
110600190.73758018,110600190.7375795
123809985.52149025,123809985.5214909
131234673.97428998,131234673.97429061
125851686.45579731,125851686.455799
112386304.35332203,112386304.35332346
106826997.25963452,106826997.25963485
78238632.45503175,78238632.45503488
119001392.67501158,119001392.67501365
158813139.22200614,158813139.22200516
105487518.55115363,105487518.55115646
69358559.93451513,69358559.93451461
271704980.41993356,271704980.4199344
366740889.3190335,366740889.31902647
141842683.0250534,141842683.0250533
136374206.53741205,136374206.5374125
277901860.4147427,277901860.414749
84459479.53333558,84459479.53333777
1505570344.59518,1505570344.5952046
125634106.72759289,125634106.72759312
113568895.31210613,113568895.3121076
129576357.84202689,129576357.84202716
112041450.22022569,112041450.22022644
130306097.83856684,130306097.83856612
897991393.8065821,897991393.8066084
93288396.1300974,93288396.13009942
114324534.92810553,114324534.92810482
181530165.89324751,181530165.89324522
159328394.7716202,159328394.7716204
85116793.28624916,85116793.28625207
127031528.49626401,127031528.49626665
107462616.15335508,107462616.15335637
79851241.72977972,79851241.72977981
139395588.94625428,139395588.94625515
99032031.03674842,99032031.03674917
125762350.9922477,125762350.99224783
149299950.44091377,149299950.44091335
77314640.27802412,77314640.27802505
86791200.23058891,86791200.2305917
127675736.27022445,127675736.2702249
58114542.388364375,58114542.38836373
106834611.61433479,106834611.61433329
120060418.46635315,120060418.46635312
104851127.80214241,104851127.80214144
121873927.36365551,121873927.36365488
91235241.94443654,91235241.94443572
130866543.6428321,130866543.64283267
114736665.17131004,114736665.17131105
81814379.92278172,81814379.92278215
84606239.91494411,84606239.91494642
103353454.512427,103353454.51242648
105817142.18205267,105817142.18205121
112315578.0997594,112315578.09976205
127931319.7710813,127931319.77108163
24263444.460048184,24263444.460049696
165703507.82692873,165703507.82692766
91241799.53940609,91241799.53940368
133414945.36435643,133414945.36435759
153653717.30663508,153653717.30664605
122120962.52880308,122120962.52880351
102595489.99167092,102595489.99167351
111936462.07783017,111936462.07782957
107243547.37772882,107243547.37773122
67126030.75254568,67126030.75254828
71968373.79813994,71968373.79813856
115981247.93197024,115981247.93197283
46658641.575636834,46658641.57563713
101134273.86233996,101134273.86234033
134411625.09095442,134411625.09095204
106072701.69537853,106072701.69538093
124163450.97908598,124163450.97908297
97183911.00298543,97183911.00298603
82781383.43056507,82781383.43056607
58101806.3172342,58101806.31723469
124415208.23877302,124415208.23877507
23059192.90968053,23059192.909680028
111602077.57668641,111602077.57668719
121740572.02033705,121740572.02033752
532514379.2358954,532514379.2358791
98822917.33512358,98822917.33512257
113384893.90207583,113384893.90207693
255256138.7384379,255256138.73843864
87754478.49705794,87754478.49705864
128953036.20165122,128953036.20165208
92994435.59556456,92994435.5955665
134026088.27738908,134026088.27739237
224482067.46580493,224482067.46579933
105276656.70746885,105276656.70746781
108435563.04392388,108435563.0439257
125714899.44302642,125714899.44302747
-11884000.102233931,-11884000.102235407
41873320.14064602,41873320.14064472
111299570.26205999,111299570.26206209
164132897.8540207,164132897.85402524
56922002.36328143,56922002.36328334
125476413.92190447,125476413.92190099
55428443.82088767,55428443.82088962
92372526.52621007,92372526.52620876
89790342.16552024,89790342.16552073
104284279.63068,104284279.63068077
65298733.0398837,65298733.03988491
101839267.90636855,101839267.90636912
94013708.30303687,94013708.30303581
201873213.45124945,201873213.45124727
100230634.2685808,100230634.26858431
117485911.39137441,117485911.39137366
57632710.98858453,57632710.98858477
221427937.7946173,221427937.7946163
51880125.59975214,51880125.599755116
89171704.79580033,89171704.79579954
136094856.6245017,136094856.62450165
142623715.99520826,142623715.99520758
89614128.51837437,89614128.5183742
78512737.52013463,78512737.52013527
127502403.51501352,127502403.51501377
81293811.17424244,81293811.17422995
123591284.8500284,123591284.85002747
159577325.84672585,159577325.8467272
129907484.14912447,129907484.14912623
122749105.30991134,122749105.30991173
110060094.4166079,110060094.41660845
97724427.15212448,97724427.15212554
142667212.538457,142667212.53845888
59620239.3204595,59620239.32045918
119330176.15483081,119330176.15483098
106089773.9871017,106089773.9871023
96511895.43568775,96511895.43568718
111670270.74410352,111670270.74410471
72281067.04298289,72281067.04298326
101556091.58843279,101556091.58843528
231285740.47714618,231285740.47714275
47324862.9863106,47324862.986308
112169359.43074179,112169359.4307435
66691870.791344136,66691870.791347474
120700763.37694809,120700763.37694824
74367528.82604402,74367528.82604519
122655833.59067422,122655833.59067458
101351427.87444693,101351427.87444754
123876661.64306271,123876661.64306192
106963545.75857562,106963545.7585746
95040378.85506815,95040378.85507067
126684320.57446921,126684320.57446843
160942984.31461662,160942984.3146181
94438315.0037126,94438315.00371478
71724648.75972612,71724648.75972447
104903432.80910075,104903432.80910261
120381552.71265215,120381552.71265058
94259728.09119421,94259728.09119363
101200320.285027,101200320.28502618
139671407.24255824,139671407.24255803
68130113.68593654,68130113.68593703
162128735.54046237,162128735.54046166
132411951.01397085,132411951.01397136
300986417.7743233,300986417.77433157
344945137.49556243,344945137.4955616
88685019.8354157,88685019.83541572
113823963.00766894,113823963.00766909
111502791.73284519,111502791.73284686
127458637.01112795,127458637.0111281
130593254.92876798,130593254.92876905
107423797.51818913,107423797.51818931
113603413.05505407,113603413.05505376
79883236.66522716,79883236.66522971
124032533.7342706,124032533.73426998
229040037.8746207,229040037.8746151
100919228.47589931,100919228.47590053
120023950.32691744,120023950.32691902
131698117.74039188,131698117.74039239
111609168.08904928,111609168.08904846
123430409.6052022,123430409.60520172
71320765.17811021,71320765.17810953
115252787.7002939,115252787.7002958
94861442.42573169,94861442.4257339
