sk-learn,numpy
264404.7175144199,264404.7174981162
994923.1748909075,994923.174885299
354796.644789543,354796.6447719205
519169.8076112792,519169.80760525167
227367.0100116171,227367.0099963192
396760.3402392939,396760.3402340282
544149.1869660262,544149.1869607493
612251.221307043,612251.2213010322
376555.6826111581,376555.6826054584
739103.7628056873,739103.7628049143
523585.3302209154,523585.330215523
472621.2845630776,472621.28455675393
337224.57251496427,337224.5725080613
729522.1594663318,729522.1594596151
624724.259476319,624724.2594704349
476097.84033774957,476097.8403386492
916077.2492166907,916077.2492175605
805876.3779322524,805876.3779292591
776434.291819768,776434.2918133494
636183.3952741083,636183.3952743318
675773.0724143386,675773.0724081825
859671.0830998663,859671.0830934979
562514.1167537495,562514.116747668
543661.8265845943,543661.8265770655
516750.3980266303,516750.39800560847
634415.1219461393,634415.1219462883
325204.75987265445,325204.7598749567
548744.323389126,548744.3233827148
595326.3558032326,595326.3558046073
352908.50985316,352908.50985072926
257495.73924873956,257495.73924952
560048.2221475597,560048.2221476566
1002230.8194379974,1002230.8194364011
429339.7849440109,429339.7849389184
374893.3099724315,374893.30996795185
329506.57504408434,329506.575031396
343464.68109904416,343464.6810997501
619967.6220940966,619967.6220897771
509893.25462032855,509893.2546166051
414270.2340107467,414270.2340051215
435513.1400178578,435513.14001224376
1229321.3590706494,1229321.359055547
620425.2121473607,620425.2121407576
444741.17206641287,444741.17206091434
368850.7526177801,368850.7526120972
388793.9258617759,388793.9258554932
1050131.5055939462,1050131.5055891871
849601.1158186086,849601.115812324
29341.19626017846,29341.19624276273
478396.56840123795,478396.5683951564
405514.10930087045,405514.10930028
346032.8495295346,346032.8495200854
576228.3716781326,576228.3716780208
472498.46177154966,472498.4617683124
1033255.1874179468,1033255.1874124687
621373.1606366169,621373.1606291439
863574.8214140199,863574.8214083556
421443.51599311084,421443.5159872789
262446.5767501611,262446.5767372288
272641.31944186427,272641.3194164317
466533.9117337782,466533.91172712296
428816.43392490037,428816.43391857855
440036.2643814236,440036.2643776871
418920.960487023,418920.9604828451
483202.937822951,483202.93781676143
676293.197981026,676293.1979744695
645350.6545386557,645350.6545369346
197863.51751055568,197863.51750718057
363665.5793023072,363665.5792892147
421301.6384461168,421301.63843966275
693657.2921299562,693657.2921234984
399792.9411024451,399792.94109753147
429517.371840192,429517.37183211744
402328.0927127786,402328.0927073341
436874.56336076,436874.5633487534
598921.7010144908,598921.7010089718
531702.5707512666,531702.570745049
967748.8313928321,967748.8313863575
320380.41018181853,320380.41017637774
570644.1997285038,570644.1997159906
281974.0232564565,281974.0232394021
725106.6860989761,725106.6860978957
692646.5640617907,692646.5640597865
328755.21401669085,328755.214011075
