TensorFlow,PyTorch
26321.15234375,26315.212890625
17729.2578125,17728.439453125
24344.224609375,24339.01171875
25502.51953125,25498.529296875
17082.259765625,17085.349609375
20351.40625,20349.310546875
21806.419921875,21805.9921875
26179.578125,26172.9296875
26326.779296875,26318.951171875
27864.259765625,27853.52734375
29880.94140625,29876.443359375
19390.029296875,19389.380859375
24280.271484375,24275.14453125
17611.8359375,17611.294921875
19521.576171875,19522.12109375
29719.01953125,29718.47265625
22761.837890625,22758.251953125
26410.83984375,26405.251953125
21113.787109375,21110.263671875
24542.716796875,24542.720703125
26181.6484375,26175.201171875
24119.2265625,24113.427734375
17846.0390625,17847.806640625
15510.0390625,15512.9814453125
25089.287109375,25082.865234375
19607.185546875,19606.609375
18444.619140625,18443.5390625
16737.173828125,16739.01953125
25626.669921875,25619.71484375
26179.513671875,26173.095703125
23175.361328125,23173.556640625
20991.87890625,20992.041015625
26391.517578125,26385.419921875
26819.708984375,26813.79296875
21374.4453125,21371.6171875
23659.119140625,23655.771484375
26132.185546875,26125.341796875
26993.224609375,26985.87890625
19148.208984375,19147.962890625
27494.01171875,27488.439453125
20423.90625,20421.841796875
19380.458984375,19380.4609375
28991.541015625,28988.966796875
19829.115234375,19829.978515625
26893.478515625,26887.38671875
23732.79296875,23730.654296875
23420.87109375,23416.20703125
19204.150390625,19206.416015625
24387.09765625,24384.845703125
20429.564453125,20428.142578125
20670.10546875,20667.794921875
18916.4765625,18915.779296875
24640.341796875,24633.5390625
25680.634765625,25676.955078125
25113.931640625,25107.150390625
16732.962890625,16735.888671875
26435.91796875,26430.17578125
26227.5625,26227.771484375
19593.041015625,19590.57421875
20602.65625,20601.8359375
18176.634765625,18180.931640625
23192.8359375,23189.904296875
19519.044921875,19524.583984375
19763.93359375,19761.814453125
19830.6015625,19829.404296875
20165.93359375,20164.689453125
20793.37890625,20794.634765625
17568.517578125,17569.462890625
26308.689453125,26303.341796875
17295.962890625,17297.40625
20400.37890625,20401.736328125
18934.37890625,18933.119140625
26504.115234375,26497.2421875
20638.6796875,20638.216796875
16190.009765625,16191.373046875
28310.052734375,28302.96484375
19413.935546875,19414.435546875
23777.146484375,23773.599609375
17511.265625,17510.9296875
25539.76953125,25534.818359375
21678.212890625,21677.294921875
20844.810546875,20842.400390625
26042.80078125,26035.361328125
25879.37109375,25876.791015625
28397.931640625,28389.083984375
17251.05859375,17254.302734375
18747.111328125,18748.970703125
27352.828125,27344.4140625
23289.978515625,23285.884765625
19840.392578125,19839.841796875
24243.8359375,24240.255859375
16392.96875,16396.416015625
26719.765625,26712.642578125
26499.02734375,26496.216796875
18844.548828125,18849.828125
26222.310546875,26216.697265625
24469.09375,24464.234375
17860.337890625,17860.48828125
26195.0703125,26189.65625
15900.115234375,15906.318359375
23660.3671875,23655.134765625
26778.892578125,26773.419921875
18130.9453125,18133.681640625
20766.173828125,20767.751953125
26523.578125,26520.060546875
21412.935546875,21417.900390625
23520.189453125,23516.72265625
25248.208984375,25243.560546875
19727.3515625,19726.693359375
20812.306640625,20810.92578125
27843.982421875,27837.2421875
23831.40625,23825.720703125
18425.212890625,18428.544921875
26681.609375,26674.978515625
24080.681640625,24076.048828125
26304.896484375,26300.763671875
20717.376953125,20716.322265625
27159.337890625,27153.537109375
26667.513671875,26659.392578125
27224.798828125,27217.72265625
16161.43359375,16168.537109375
26954.12890625,26945.802734375
26206.15234375,26200.806640625
17284.74609375,17288.67578125
17201.501953125,17205.978515625
25409.923828125,25404.087890625
20485.513671875,20486.9140625
28541.591796875,28542.07421875
19968.416015625,19966.689453125
25325.330078125,25320.833984375
23983.869140625,23980.412109375
17651.478515625,17657.107421875
28834.2421875,28829.859375
29028.060546875,29021.556640625
17739.953125,17738.048828125
28773.912109375,28773.107421875
17763.337890625,17768.29296875
25408.037109375,25401.873046875
24221.74609375,24218.025390625
20793.484375,20791.236328125
21052.4296875,21052.86328125
26568.794921875,26563.912109375
25281.328125,25275.650390625
17424.603515625,17428.009765625
18578.591796875,18582.388671875
20276.310546875,20275.76953125
23397.634765625,23390.51953125
19960.072265625,19959.650390625
28338.732421875,28334.060546875
25347.552734375,25342.607421875
19518.830078125,19525.966796875
30320.564453125,30318.5703125
19560.6953125,19560.466796875
24556.775390625,24552.353515625
21082.224609375,21079.880859375
16244.5078125,16244.7841796875
27692.755859375,27689.19140625
31085.48046875,31079.83984375
16634.79296875,16636.708984375
28116.447265625,28107.47265625
27909.369140625,27901.994140625
19901.279296875,19905.845703125
18773.916015625,18778.794921875
28755.638671875,28748.216796875
16229.8662109375,16232.7939453125
18367.21484375,18370.71875
23966.6640625,23962.3671875
22014.8828125,22014.974609375
20622.78515625,20621.119140625
21654.0703125,21652.62890625
24705.703125,24703.962890625
24595.515625,24590.486328125
16228.732421875,16229.8828125
22907.53515625,22906.330078125
24946.82421875,24942.10546875
23954.6953125,23949.466796875
28322.24609375,28313.396484375
23977.48046875,23973.083984375
24180.392578125,24174.650390625
17938.06640625,17941.443359375
18403.2734375,18406.384765625
28742.908203125,28735.119140625
27584.138671875,27577.369140625
28885.396484375,28877.0078125
24253.572265625,24251.0078125
25486.345703125,25479.615234375
23236.26171875,23232.587890625
15354.08203125,15358.517578125
24644.154296875,24640.927734375
25474.330078125,25473.224609375
19925.865234375,19925.271484375
21075.2890625,21076.509765625
18234.69921875,18241.1796875
25177.458984375,25175.75390625
28901.130859375,28893.650390625
26568.181640625,26566.712890625
24329.736328125,24326.330078125
22292.310546875,22295.345703125
25058.150390625,25052.58203125
19949.0703125,19947.080078125
27530.4140625,27522.83984375
28885.65625,28878.494140625
19912.970703125,19911.666015625
27404.462890625,27396.732421875
24996.302734375,24990.958984375
26389.802734375,26384.732421875
26836.375,26833.724609375
25049.94140625,25045.166015625
23970.53515625,23966.142578125
16788.521484375,16788.818359375
18794.205078125,18794.09375
24763.943359375,24758.857421875
21559.740234375,21558.013671875
24242.98046875,24237.744140625
21501.814453125,21507.361328125
18009.24609375,18009.134765625
23132.982421875,23130.64453125
24602.177734375,24596.412109375
20297.904296875,20297.93359375
29303.556640625,29295.484375
16931.85546875,16938.267578125
25185.025390625,25179.583984375
26357.287109375,26352.787109375
19916.822265625,19918.908203125
24791.603515625,24787.052734375
24813.2109375,24806.412109375
19898.869140625,19898.134765625
24850.068359375,24847.771484375
27651.33984375,27643.4140625
29124.822265625,29118.861328125
21222.3359375,21221.185546875
25392.927734375,25391.396484375
25997.220703125,25991.041015625
24209.021484375,24205.833984375
20887.060546875,20885.177734375
15277.189453125,15284.515625
16503.39453125,16509.818359375
24340.990234375,24335.7421875
26016.46875,26012.029296875
23072.990234375,23069.189453125
24787.470703125,24784.166015625
17165.978515625,17168.189453125
26786.943359375,26779.689453125
24402.44921875,24399.6796875
25120.369140625,25116.580078125
26314.984375,26311.232421875
20798.072265625,20796.513671875
