sk-learn,numpy
26320.929687110158,26320.92968800782
17729.289061388798,17729.28906312225
24344.089842527035,24344.089844035607
25502.230469365513,25502.23046901496
17082.109376304314,17082.10937513586
20351.34960780293,20351.349609091263
21806.17968903611,21806.179688078344
26179.4003894057,26179.400391009294
26326.66015351994,26326.66015600403
27864.2109338941,27864.210937985594
29880.41992430278,29880.41992197582
19389.949218440994,19389.94921910605
24280.14062348296,24280.14062504239
17611.86913943371,17611.869141132225
19521.419922522746,19521.419922106932
29718.2402400801,29718.240233947483
22761.71093695773,22761.710938059165
26410.589843435293,26410.589844007485
21113.75976405336,21113.759766077823
24542.259769182867,24542.25976603125
26181.460936612722,26181.460938007844
24119.130856937172,24119.130859034878
17845.919922600824,17845.91992212769
15510.009766165456,15510.00976616286
25089.16991994542,25089.169922024274
19607.080077718056,19607.080078097657
18444.619139568553,18444.619141113733
16737.119140998504,16737.119141141917
25626.550778787965,25626.55078101759
26179.33007655004,26179.330078013532
23175.10937572623,23175.109375056512
20991.640626195607,20991.640625078955
26391.300779956353,26391.300781010665
26819.449218381786,26819.449219003636
21374.369139726146,21374.369141082203
23658.919921710978,23658.919922046683
26132.029295161905,26132.029297013738
26993.039061259886,26993.03906300123
19148.130858572982,19148.130859115656
27493.699219016627,27493.6992190016
20423.83984288848,20423.8398440888
19380.3398440729,19380.339844101843
28990.93945667065,28990.939452969178
19828.91992296917,19828.91992210382
26893.23046825661,26893.23046900384
23732.519531762922,23732.519531047878
23420.75976449325,23420.75976604531
19203.910157879604,19203.910156106896
24386.789064062676,24386.78906303862
20429.460937416603,20429.460938090808
20670.039061803185,20670.039063086395
18916.429687129374,18916.42968811175
24640.27929431236,24640.279297032695
25680.3300785445,25680.330078026476
25113.839841589957,25113.83984402829
16732.849609920813,16732.849609143683
26435.669921370893,26435.669922003377
26226.98047338593,26226.980469007587
19593.060544948316,19593.06054710719
20602.519530918267,20602.519531098627
18176.339847002888,18176.339844121718
23192.63085887456,23192.63085904641
19518.58984887978,19518.589844103994
19763.910154468736,19763.910156095957
19830.519530312056,19830.519531095655
20165.839843365564,20165.839844098406
20793.109376806275,20793.109375098153
17568.460937762673,17568.460938127897
26308.439452506303,26308.43945301642
17295.89062507016,17295.890625128704
20400.109376873974,20400.109375086886
18934.359373710937,18934.359375107386
26503.929686428084,26503.929688002994
20638.519531254355,20638.519531098005
16190.019530287744,16190.019531147389
28309.759765387455,28309.75976597478
19413.779297508216,19413.779297101082
23776.949218678055,23776.949219041202
17511.28906160223,17511.289063129567
25539.539062423788,25539.539063023425
21678.000000567237,21678.000000076616
20844.740232839107,20844.740234083496
26042.68945057101,26042.689453016323
25878.990235577832,25878.990234027788
28397.74023184782,28397.740233978166
17250.880860648584,17250.880859127243
18746.919923284288,18746.91992211047
27352.689450511105,27352.689452999017
23289.839842873895,23289.83984404892
19840.279296785273,19840.27929710057
24243.60937486209,24243.609375038337
16392.839845231632,16392.83984414324
26719.58007636421,26719.580077999373
26498.599610955807,26498.599609002544
18844.16016019802,18844.160156117265
26222.070312333704,26222.070313008564
24468.9296868487,24468.929688038457
17860.31054620163,17860.310547127407
26194.820312457392,26194.82031301183
15899.87012016452,15899.87011716254
23660.27929507045,23660.279297046534
26778.61914069168,26778.619141008785
18130.74023573588,18130.740234115307
20765.869143310632,20765.869141081657
26523.230470041668,26523.230469029535
21412.400396482753,21412.400391083713
23519.99999956847,23520.00000004579
25247.990233438322,25247.99023403353
19727.249999656706,19727.250000100412
20812.16992176792,20812.16992208
27843.710937261705,27843.7109379922
23831.330075803366,23831.33007804268
18424.960940354566,18424.960938116456
26681.400389735685,26681.400391001338
24080.519529976595,24080.519531032205
26304.560547701112,26304.56054700408
20717.240233838205,20717.240234092787
27159.060546602665,27159.06054700647
26667.390622452098,26667.390625000364
27224.580076669336,27224.580077995364
16161.1396519898,16161.139648170845
26953.999997411287,26953.999999998767
26205.910155437046,26205.910156017668
17284.539065112847,17284.539063136952
17201.269533503884,17201.26953113965
25409.749998612064,25409.750000022195
20485.24023591892,20485.24023408917
28540.83008422153,28540.830077964594
19968.380857696815,19968.38085911187
25325.089843700865,25325.0898440252
23983.660155714933,23983.660156049504
17651.15039475594,17651.150391136096
28833.75976799479,28833.759765973136
29027.68945325496,29027.68945296999
17740.050778400775,17740.050781125232
28773.230473986423,28773.23046897933
17763.029300356637,17763.029297124594
25407.89062333197,25407.890625022646
24221.539062620162,24221.539063047592
20793.400390030325,20793.400391079445
21052.169923477937,21052.16992207756
26568.490234145454,26568.490234005458
25281.15038973643,25281.15039101932
17424.410157827086,17424.410156129477
18578.30078379313,18578.30078111715
20276.169922030942,20276.16992209708
23397.6699183423,23397.669922045658
19959.939453012805,19959.939453096853
28338.30078241344,28338.300780980855
25347.339843330505,25347.339844025504
19518.28906918239,19518.289063110777
30319.830083154455,30319.83007793942
19560.570313036453,19560.570313095668
24556.57031238449,24556.570313029286
21082.130858004657,21082.13085908224
16244.58007634726,16244.580078148894
27692.300782954306,27692.300780991587
31084.939455105272,31084.93945295454
16634.74023402599,16634.740234141376
28116.27929460912,28116.279296979337
27909.119139857838,27909.11914098398
19900.86914515828,19900.869141108305
18773.550784848267,18773.550781114347
28755.33984328194,28755.33984397495
16229.780273684139,16229.780273145872
18366.949221492916,18366.949219114573
23966.49023315078,23966.490234037123
22014.589845635866,22014.58984407327
20622.679687352625,20622.67968808587
21653.900391005343,21653.900391085856
24705.330079838306,24705.33007802529
24595.349607881122,24595.34960902996
16228.749999114842,16228.750000146976
22907.25000122923,22907.250000048578
24946.63085821592,24946.630859036002
23954.580076355447,23954.580078036564
28322.06054480576,28322.06054697917
23977.320312000462,23977.320313041408
24180.300778937337,24180.30078104064
17937.83984609458,17937.839844122325
18403.03906509803,18403.039063120304
28742.63085798339,28742.63085897278
27583.880858127213,27583.880858991764
28885.140623601557,28885.14062496806
24253.28906368326,24253.289063043187
25486.22070091818,25486.220703018447
23236.10937413189,23236.109375054468
15353.98047031131,15353.980469169783
24643.89062534528,24643.89062503853
25473.88086168388,25473.88085902729
19925.740233885408,19925.740234093675
21075.000001996563,21075.000000090102
18234.26953597469,18234.269531117538
25177.05078322515,25177.05078101483
28900.830077297378,28900.830077974773
26567.67969108644,26567.679688006894
24329.490234122528,24329.49023403303
22291.82031761097,22291.820313055716
25057.990232618173,25057.990234029003
19949.029295637556,19949.029297097568
27530.19921748181,27530.19921898659
28885.339843587688,28885.339843973812
19912.8906242146,19912.890625097087
27404.26952918362,27404.269530994097
24996.140623705578,24996.140625035005
26389.51953092659,26389.519531004007
26835.91992424844,26835.919922000554
25049.730468367063,25049.730469023645
23970.36914006236,23970.369141036877
16788.550779781726,16788.5507811357
18794.130858588192,18794.130859111425
24763.7695298797,24763.769531030055
21559.58984374544,21559.589844082482
24242.85937335305,24242.859375043783
21501.23047503312,21501.23046908202
18009.22070212098,18009.220703121537
23132.759766267067,23132.759766055184
24602.060545168875,24602.06054703504
20297.720703662213,20297.720703088646
29303.25976505602,29303.25976596711
16931.51953506456,16931.51953113982
25184.849607802244,25184.849609026354
26356.97070340039,26356.97070300421
19916.560548990445,19916.56054711061
24791.390624423922,24791.39062502608
24813.130856460197,24813.13085902734
19898.7695306097,19898.76953110441
24849.720704432297,24849.72070302452
27651.14062324732,27651.140624985313
