sk-learn,numpy
557704.5576741982,557686.9216770814
1031338.8872669213,1031124.3467312718
2351093.963722755,2351640.1934966245
2915948.310724781,2915955.7647164194
1741910.5469515757,1742157.4000726845
2755472.535298138,2755321.557220405
1722161.295982489,1722073.0105420027
4191881.4072536724,4191979.6167439297
6147107.637861416,6147423.557444895
892480.5017841205,892106.2176176509
1181219.457544226,1180995.8235158657
1659764.4651649757,1660016.3022195892
790665.27922548,790465.340740626
1512686.1033498037,1512442.3587125638
4692897.764108595,4692797.407749152
971744.2649115412,971365.1716864266
976574.8327425215,976363.6148292087
3379574.635207424,3379890.297032243
1900438.0732064168,1900675.308210235
2842449.1849157177,2842461.0982162813
4207734.159879156,4207831.407557685
803128.6233495733,802759.7603037586
1998943.997460713,1999343.424343388
2926036.426031907,2926043.2679615356
1170624.252394888,1170233.0928044454
1083220.6231321422,1083002.934849016
791599.3487128576,791231.1851664821
1260990.310513859,1260930.0050509449
925627.1663646782,925250.8711373206
1272092.605505409,1272367.963228669
2515306.0170989083,2515337.778696062
1421893.0655856673,1421654.8295065116
1709190.8620161833,1709103.3635125665
1009214.4074808673,1008833.0408825752
888157.0237953521,887783.0019411723
1138491.767498754,1138438.8942173824
3249790.185347325,3249609.216231132
2515732.996744074,2515428.395655615
807959.1911805536,807758.2034465407
1277350.1529815549,1277457.0233310033
921810.7782181217,921602.8829271456
2525901.2222482464,2526100.509407483
889598.1831249415,889224.0738333318
1162484.386259563,1162261.8889177917
734460.0653714908,734263.5369464033
2466306.599892866,2466341.3343626373
847804.562566847,847432.9889607046
920876.7087307442,920837.0385012894
1433929.430064595,1433858.632110092
1639081.1447085112,1639166.068263052
1668411.4211425125,1668662.7335725473
6130240.705551507,6130221.311698534
2371697.1739821737,2371905.8169464106
4064125.316762422,4064399.445808033
1659764.4651649757,1660016.3022195892
2101186.199664519,2101074.9181799665
1810072.0150874462,1809978.395963736
785834.7113944998,785466.8975978439
838730.6269441445,838695.9406481949
1829314.1762143213,1829387.558028114
1914342.5766600997,1914410.7996655274
1006332.0888216884,1005950.8970982559
1238358.740885593,1237963.4717359445
931898.8935252479,931690.3861722625
1308041.4785480993,1307810.1500259067
1141374.0861579329,1141321.0380017017
929950.6443534467,929574.0868137995
1032272.9567542989,1031890.1911571281
686901.8074950383,686708.1645051378
3766739.405024779,3766863.408556861
638409.4801312084,638386.9476380164
4068448.7947511906,4068722.661484511
1434863.4995519726,1434624.4765359478
829069.4912821838,828699.0543626304
1051515.117881174,1051299.3532215056
534646.0084007666,534629.7714025285
2371697.1739821737,2371905.8169464106
2468174.738867622,2467873.02321435
798805.145360805,798436.5446272799
2109833.155642056,2109721.3495329237
8308846.632245619,8309031.395684227
1920107.2139784575,1920175.0872341655
959788.01062966,959745.9795895976
1328217.709162352,1327985.1565161406
923251.9375477112,923043.9548193051
1479112.4591240801,1479207.0882333415
1820667.2202367845,1820741.126675156
3414162.459117572,3414476.0224440726
3330068.12815917,3330218.625232516
1038544.6839148686,1038329.7061920697
829069.4912821838,828699.0543626304
1157226.8387834171,1157172.8288154567
3523610.4579693247,3523412.8757414483
1603986.2309561525,1603905.1153849198
4698235.421781788,4698471.078358237
1923923.6021250142,1923823.075444341
1531928.2644766788,1531851.5207769417
3479014.6289490974,3479324.2575912527
1325842.480345385,1325778.2401981251
901634.5476038691,901427.8764369118
882899.476319206,882693.9418388377
851701.0609104498,851665.5876776308
773878.4571126185,773847.7055010148
604248.6358662267,603891.8391857398
3093717.9981064973,3093882.834918348
2372204.2638243856,2372581.044412714
1723602.4553120784,1723514.0824341627
1534303.4932936458,1534058.437094957
1781755.9183378688,1781832.1855868483
1223093.188299367,1223371.5188952442
1754373.8910756686,1754451.8196358168
1373400.7382218374,1373333.61263939
1492589.9829325979,1492851.9627290815
804142.8030339973,804110.2152363656
2905433.215772489,2905777.6445117495
1810579.104929658,1810653.6234300397
3480455.788278687,3480765.3294834127
1799983.89978032,1799890.892718619
2405270.818207897,2405141.0874256324
1518957.8305103737,1518881.8737475055
810334.4199975207,809965.1197645563
598991.0883900807,598802.7790834049
3013520.1654916992,3013858.036423716
2887205.2343300376,2887718.9373799786
1258615.0816968915,1258723.088732929
1039985.8432444581,1039770.7780842292
2761237.1726164958,2761085.844789043
2414424.8640276454,2414462.7462448934
1767771.3046871398,1767512.083624805
10468717.487655066,10469107.545071851
1510310.874532837,1510235.4423945483
1331100.0278215308,1330867.3003004596
2638311.6499562245,2638504.116995928
1827873.0168847318,1827946.486135954
2191552.25778349,2191771.8304264657
1039985.8432444581,1039770.7780842292
1059654.9840164988,1059270.5571081596
2502842.672974815,2503043.3591329297
1985466.4736521957,1985698.5498476494
974626.5835707202,974247.3154707457
1071691.3484954264,1071474.3597117395
803128.6233495733,802759.7603037586
1786506.3759718027,1786246.0182228794
